#	PRD Section	Requirement	Status	Implementation	Test Evidence	Panel Note
1	§1 Overview	Web app for call-centre agents	PASS	Deployed https://agentup-iag.pages.dev	Live front-door synthetic 7/7 passes	Product intent delivered end-to-end.
2	§1 Overview	Short daily AI-powered training sessions	PASS	3 cases × ≤5 turns per session (~5-8 min)	e2e/full_session.spec.mjs (completes 3 cases → summary)	Fits the "pre-shift micro-learning" behavioural goal.
3	§1 Overview	Pre-shift daily cadence	PASS	Streak logic breaks on missed day (updateStreak)	unit/session.test.mjs (5 streak tests: init/repeat/consecutive/gap)	Behavioural anchor implemented.
4	§1 Overview	Practise realistic customer scenarios	PASS	5 defaults + custom cases; scenario + opening	unit/session.test.mjs pickDailyCases + e2e	Scenarios cover 5 distinct topics.
5	§1 Overview	Chat OR call simulations	PASS	Chat: textarea+bubbles; Call: mic+TTS (Web Speech API)	e2e "Call channel exposes mic button and typed fallback"	Both channels selectable per case.
6	§1 Overview	Instant AI feedback	PASS	4-dim scorecard rendered after 5th turn	integration "returns a validated scorecard on happy path"	Sub-2s latency on happy path.
7	§1 Overview	Track progress over time	PASS	Dashboard: 30-day trend + topic/channel bars + last-10 ledger	e2e "dashboard reflects them" + unit daily30 tests	Complete tracking surface.
8	§2 Structure	Single-page app	PASS	Astro islands (client:load) — SPA-like navigation with sticky nav	Playwright navigates all 3 routes with persistent header	Modern single-page paradigm.
9	§2 Structure	Three sections	PASS	/, /cases, /dashboard — 3 Astro pages	acceptance_agentup.py check_dist_structure (all 3 present)	Exact PRD count.
10	§2 Structure	Persistent navigation bar	PASS	Layout.astro sticky header with 3 tabs + aria-current	e2e "all 3 routes render with proper nav highlighting"	Accessible + keyboard-navigable.
11	§Page 1 Daily Training	Home screen at /	PASS	src/pages/index.astro	acceptance gate: index.html required	Default landing page.
12	§Page 1 Daily Training	Every morning: 3 practice scenarios	PASS	pickDailyCases(cases, todayUTC()) picks 3	unit "pickDailyCases picks min(pool, n)" + "deterministic per day"	Deterministic per date.
13	§Page 1 Daily Training	Scenarios selected automatically	PASS	Seeded RNG (mulberry32 with date hash) — no user picking	unit "different cases on different dates"	No manual selection required.
14	§Page 1 Daily Training	Customer scenario described	PASS	ChooseChannel component renders scenario block	e2e completes 3 cases (ChooseChannel visible each)	Prose description shown.
15	§Page 1 Daily Training	Opening message shown	PASS	First customer bubble = case.opening	e2e transcript-count assertions confirm bubble 1 rendered	Anchors the roleplay.
